FileNo	CountyName	CurrentOperator	CurrentWellName	DFElev	FieldName	Footages	GRElev	KBElev	LeaseName	LeaseNumber	OriginalOperator	OriginalWellName	ProducedPools	QQ	Range	Section	TD	Township	WellStatus	WellType	Wellbore	api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	legs	max_tvd	mean_tvd	min_tvd	num_pools_produced	production_liquid_120	production_liquid_150	production_liquid_180	production_liquid_1825	production_liquid_270	production_liquid_30	production_liquid_365	production_liquid_60	production_liquid_730	production_liquid_90	spud_date	std_tvd	stimulated_formation	surface_lat	surface_lng	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	type_treatment	well_status_date
27863	WILLIAMS	WHITING OIL AND GAS CORPORATION	P WOOD  154-98-16-23-14-2H3		TRUAX	911 FSL  792 FEL			P WOOD	154-98-16-23-14-2H3	KODIAK OIL & GAS (USA) INC.	P WOOD  154-98-16-23-14-2H3	BAKKEN	SESE	98 W	23	20300.0	154 N	A	OG	HORIZONTAL	US33105034550000	90.0	48.168154	-103.245166	41/64	2.0	10916.93	10868.5773387	10395.89	1	39440.0	43941.0	48302.0			16414.0		26074.0		33526.0	2014-07-12	98.0158393891	bakken	48.1424131899	-103.24089568	3991618.0	20	90232.0	10896.84	sand frac	2014-11-01
20136	MCKENZIE	HESS BAKKEN INVESTMENTS II, LLC	IVERSON TRUST  1-1H		GLASS BLUFF	300 FNL  1320 FEL	2216.0	2238.0	IVERSON TRUST	1-1H	TRACKER RESOURCE DEVELOPMENT II, LLC	IVERSON TRUST  1-1H	BAKKEN	LOT 2	103 W	1	20552.0	151 N	A	OG	HORIZONTAL	US33053034020000	50.0	47.906679	-103.802227	20/64	2.0	10784.08	10724.2675325	10142.28	1	45490.0	52251.0	58729.0		73511.0	17743.0	87174.0	27468.0	123356.0	38197.0	2011-02-11	131.74225153	bakken	47.934285162399995	-103.80208877700001	3668254.0	38	69347.0	10774.5	sand frac	2011-06-10
25780	MOUNTRAIL	LIME ROCK RESOURCES III-A, L.P.	CGB  30-31H		STANLEY	311 FNL  1795 FWL	2219.0	2247.0	CGB	30-31H	FIDELITY EXPLORATION & PRODUCTION COMPANY	CGB  30-31H	BAKKEN	NENW	91 W	30	16980.0	155 N	A	OG	HORIZONTAL	US33061026020000	110.0	48.205268	-102.42248199999999	32/64	2.0	9915.74	9830.2682	9198.87	1	11196.0	14288.0	17221.0		27652.0	5648.0	35865.0	7398.0		9079.0	2013-08-29	144.805008176	three forks	48.2249944711	-102.43177429100001	3046163.0	46	46463.0	9906.5	fracture	2013-11-26
24575	STARK	WHITING OIL AND GAS CORPORATION	PAVLISH  31-30PH		SOUTH HEART	310 FNL  2000 FWL	2573.0	2600.0	PAVLISH	31-30PH	WHITING OIL AND GAS CORPORATION	PAVLISH  31-30PH	BAKKEN	NENW	97 W	30	20135.0	140 N	A	OG	HORIZONTAL	US33089007540000	40.0	46.891498	-102.967185	48/64	2.0	10305.91	10242.205128200001	9741.01	1	34150.0	39515.0	44904.0		62341.0	13166.0	79631.0	20444.0		27155.0	2013-03-04	104.832580994	bakken	46.9189803437	-102.969389575	4811400.0	30	55196.0	10260.21	sand frac	2013-05-04
22752	MOUNTRAIL	LIME ROCK RESOURCES III-A, L.P.	STATE   34-33-28H		STANLEY	805 FSL  1222 FWL	2287.0	2317.0	STATE	34-33-28H	FIDELITY EXPLORATION & PRODUCTION COMPANY	STATE   34-33-28H	BAKKEN	SWSW	91 W	34	19400.0	155 N	A	OG	HORIZONTAL	US33061021060000	90.0	48.225065	-102.38039300000001	18/64	2.0	9743.69	9706.35673611	9269.02	1	72953.0	89511.0	104497.0		134467.0	26451.0	149087.0	45495.0		58917.0	2012-10-05	87.43350173	bakken	48.1990366298	-102.36939986600001		30		9726.07		2013-01-08
21606	DUNN	OXY USA INC.	PRIVRATSKY  1-28-33H-141-95		SIMON BUTTE	350 FNL  1820 FWL	2531.0	2556.0	PRIVRATSKY	1-28-33H-141-95	OXY USA INC.	PRIVRATSKY  1-28-33H-141-95	BAKKEN	NENW	95 W	28	20060.0	141 N	A	OG	HORIZONTAL	US33025014870000	30.0	46.981968	-102.72729	24/64	2.0	10307.93	10271.044724899999	9636.82	1	11354.0	12818.0	17045.0		30573.0	6293.0	42524.0	8789.0	69080.0	10368.0	2011-11-23	103.42599108600001	bakken	47.0091625165	-102.72861367200001	2124328.0	21	67141.0	10271.79	sand frac	2012-02-10
18983	MCKENZIE	CONTINENTAL RESOURCES, INC.	ROLFSRUD  1-11H		ELIDAH	435 FSL  1990 FEL	2322.0	2342.0	ROLFSRUD	1-11H	CONTINENTAL RESOURCES, INC.	ROLFSRUD  1-11H	BAKKEN	SWSE	97 W	11	20530.0	151 N	A	OG	HORIZONTAL	US33053031590000	90.0	47.933759	-103.055952	12/64	2.0	10833.42	10804.1803	10312.82	1	57497.0	67079.0	75087.0		93243.0	15753.0	108893.0	32025.0	148841.0	46824.0	2010-07-19	79.1672204698	bakken	47.90657900229999	-103.05552163899999	2504101.0	24	48333.0	10826.38	sand frac	2010-10-05
23584	WILLIAMS	CONTINENTAL RESOURCES, INC.	COLUMBIA FEDERAL  6-5H		DOLLAR JOE	260 FNL  2312 FWL			COLUMBIA FEDERAL	6-5H	CONTINENTAL RESOURCES, INC.	COLUMBIA FEDERAL  6-5H	BAKKEN	LOT3	97 W	5	20876.0	155 N	A	OG	HORIZONTAL	US33105027640000	90.0	48.255977	-103.186842	24/64	2.0	10989.19	10910.599878799998	10405.62	1	75198.0	86896.0	96199.0		117285.0	22863.0		40831.0		59486.0	2014-04-26	106.39795714	bakken	48.2836306358	-103.185598488	4870665.0	30	185248.0	10989.19	sand frac	2014-09-17
19712	MCKENZIE	BURLINGTON RESOURCES OIL & GAS COMPANY LP	IVAN  1-29H		ELIDAH	175 FNL  2200 FEL	2310.0	2331.0	IVAN	1-29H	CONTINENTAL RESOURCES, INC.	IVAN  1-29H	BAKKEN	NWNE	97 W	29	21047.0	151 N	IA	OG	HORIZONTAL	US33053033000000	90.0	47.848164000000004	-103.11930699999999	12/64	2.0	11206.97	11110.0177419	10640.98	1	49369.0	56977.0	63195.0		78516.0	17128.0	90824.0	28173.0	124188.0	39117.0	2010-12-06	90.40349994569999	bakken	47.8759555154	-103.12076530899999	2263958.0	24	48650.0	11206.97	sand frac	2011-03-04
17872	MOUNTRAIL	WHITING OIL AND GAS CORPORATION	LITTLEFIELD   12-34H		SANISH	2075 FNL  250 FWL	2349.0	2379.0	LITTLEFIELD	12-34H	WHITING OIL AND GAS CORPORATION	LITTLEFIELD   12-34H	BAKKEN	SWNW	91 W	34	19744.0	154 N	IA	OG	HORIZONTAL	US33061009490000	110.0	48.111711	-102.333556	48/64	3.0	9999.21	9909.69768707	9412.51	1	108015.0	126370.0	147673.0		200153.0	35239.0	249573.0	63809.0	379865.0	85393.0	2010-02-14	110.799841426	bakken	48.1188010666	-102.37357571700001	2333420.0	18	20467.0	9895.04	sand frac	2010-05-26
