api	bakken_isopach_ft	bh_lat	bh_lng	choke_size	data_group	legs	mean_tvd	min_tvd	production_liquid_180	std_tvd	surface_lat	surface_lng	td	total_lbs_proppant	total_num_stages	total_volume_bbls	tvd	length	stage_spacing	spud_year	shortest_dist	target_formation
33023010680000	90.0	48.731764	-103.845153	0.4375	TEST	3.0	8682.48300654	8169.17	25694.0	109.07889558299999	48.7486558345	-103.845224733	18541.0	2702100.0	25.0	58176.0	8756.79	6164.121839354777	0.004055727750283542	2013.0	29.385582790148135	1.0
33061019000000	110.0	48.136892	-102.332644	1.0	TEST	2.0	9827.68	9318.78	45299.0	127.284840424	48.137685227700004	-102.37020053299999	18810.0	1866840.0	26.0	27187.0	9830.13	9150.565860670025	0.0028413543376317736	2011.0	3.972797965163659	1.0
33053051430000	80.0	47.674747	-102.871779	0.28125	TEST	2.0	10980.105	10475.13	12653.0	111.83661137899999	47.7018944454	-102.86919776299999	20805.0	1651440.0	32.0	16129.0	11023.77	9926.803858610408	0.003223595475017221	2013.0	1.6423772506280025	0.0
33053045070000	80.0	47.702324	-102.708901	0.34375	TEST	2.0	11024.4888112	10452.52	79246.0	120.535501456	47.67477871609999	-102.709853882	20845.0	6515590.0	23.0	47161.0	11068.31	10054.43494202495	0.002287547747100727	2012.0	7.878481019388102	1.0
33053047660000	90.0	47.723891	-103.25107	0.609375	TEST	3.0	11109.0651923	10656.34	74794.0	139.224512769	47.731386344099995	-103.253208816	21040.0	4251992.0	33.0	96171.0	11190.58	2785.099194197979	0.011848770079265691	2013.0	9.866157153185078	1.0
33053049720000	90.0	47.980693	-102.964882		TEST	2.0	10436.0241237	9924.14	52315.0	142.10161465	47.9912808434	-102.96346102	14273.0	2067500.0	15.0	29810.0	10528.13	3879.2281980408557	0.003866748547449598	2013.0	9.308684617512787	1.0
33061020550000	130.0	48.169072	-102.760164	0.5625	TEST	2.0	10231.1562162	9357.86	84280.0	257.009950968	48.196541786400005	-102.761648848	19910.0	1635958.0	34.0	37709.0	10398.59	10030.66793024269	0.0033896047836943378	2012.0	5.456448913943429	1.0
33061025000000	130.0	48.167213	-102.670654	0.46875	TEST	3.0	10613.1757143	10221.02	70656.0	182.748511087	48.16930093770001	-102.667917334	21442.0	1757893.0	35.0	37044.0	10789.64			2013.0	0.8168820371943537	0.0
33053049810000	70.0	48.053851	-103.608733		TEST	2.0	10780.562406	10314.02	37883.0	74.8801729949	48.082596297799995	-103.60739020700001	21090.0	3826701.0	36.0	95801.0	10741.22	10494.723485961671	0.0034302952381885634	2013.0	1.6454339700623017	1.0
33105023020000	90.0	48.588402	-103.346976	0.5625	TEST	3.0	9753.97179104	9325.47	35027.0	135.921274678	48.5763625086	-103.346830095	19584.0	2376644.0	31.0	69109.0	9775.45	4393.542087211498	0.007055810410974153	2011.0	36.72080071306242	1.0
33061024560000	120.0	48.089799	-102.397212	0.625	TEST	2.0	10262.5472535	9884.4	34964.0	79.0767891921	48.0970782584	-102.438030238	20585.0	2165042.0	30.0	32964.0	10222.76	10297.295627316204	0.002913386299254859		1.476815102430467	1.0
33053034950000	50.0	47.675588	-103.442648	0.75	TEST	2.0	10888.589101799998	10150.81	60994.0	177.183478427	47.7046690698	-103.448833333	21771.0	5558026.0	38.0	62460.0	10928.47	10720.355749748538	0.0035446584877457396	2011.0	13.941983531048361	1.0
