	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_gbr__learning_rate	param_gbr__max_depth	param_gbr__min_samples_leaf	param_gbr__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score
0	24.79004361629486	1.0242153806555347	0.15751631259918214	0.03872114275201174	0.05	8	5	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-13758.881091388695	-11955.156955969913	-13791.84886371938	-13421.668082930553	-13028.756040680986	-14601.725677791219	-12424.479611790899	-13506.560131750084	-13240.503549951245	-14620.777404169785	-13435.027096591877	801.1845429227669	18
1	31.179104471206664	1.1387743688717962	0.12440428733825684	0.00881699095918456	0.05	8	5	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-13949.196612997785	-11499.886548398928	-13459.125427833511	-13396.335106189705	-12989.906477558725	-14412.217279865363	-12643.788151622692	-13762.917251799292	-12769.175065702359	-14569.096616303963	-13345.10409609527	868.7580884635152	13
2	24.40377221107483	0.4182161811713624	0.1330035448074341	0.025685276587866783	0.05	8	10	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-13554.228037652316	-12128.109184738627	-12708.198498869264	-12858.344379021892	-13053.634001665048	-14718.932126604901	-13060.747472190356	-13225.52613329846	-13701.143427071103	-14423.835859453466	-13343.097915163937	743.4151653214248	11
3	29.481133246421813	0.3340737557511088	0.13758811950683594	0.020476892739859795	0.05	8	10	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-14014.255113485027	-12567.689886770811	-12736.202445443458	-13059.180303051979	-13418.84557611926	-14496.444831374713	-13204.007677749942	-13409.790355079625	-13780.39057111925	-14544.229235956838	-13522.963439999212	645.8358063823284	26
4	23.092658710479736	0.22366964446908758	0.11735444068908692	0.012518719266394444	0.05	8	20	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 300}	-13246.767071136179	-12499.639540936507	-13084.582531188458	-13328.904325620144	-12667.294476937714	-15284.470187508567	-12890.597773093119	-13563.641529948	-13454.286638000995	-14372.556861009136	-13439.187283327827	790.4800715017554	19
5	27.8008704662323	0.10236328143640712	0.12881462574005126	0.01950826975972025	0.05	8	20	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 8, 'gbr__min_samples_leaf': 20, 'gbr__n_estimators': 500}	-13249.715097203709	-12389.660249690718	-12836.210879238686	-13377.142801319253	-12864.374300899712	-14990.009329803193	-13102.85461641314	-13550.908394358441	-13421.158188507841	-14338.62512565653	-13411.939111905593	719.0039315941663	17
6	30.500780272483826	0.22113552740610232	0.1354501724243164	0.01759956076968769	0.05	12	5	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 300}	-13065.529155286815	-11648.950282912552	-12555.564687500295	-12754.88204554722	-12799.77941778084	-14643.03809367718	-12924.583003646927	-13967.284178694106	-12651.342018308293	-14236.069716286103	-13124.490121150731	852.2499688640654	1
7	40.257688069343565	0.4225110794474472	0.1450721263885498	0.020454254053110497	0.05	12	5	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 5, 'gbr__n_estimators': 500}	-13015.111630670377	-11670.050799027667	-13054.574886178994	-12842.058893410373	-12873.59514462731	-14696.301885845081	-12433.109163828558	-13693.966377711644	-12903.833037143064	-14270.68444596506	-13145.20929600362	831.0845565701786	2
8	30.071968245506287	1.1383388361985611	0.151051664352417	0.027722698828607263	0.05	12	10	300	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 300}	-13953.101047795117	-11740.093328741594	-13157.621014319935	-12916.01373556381	-12760.528078337444	-14960.271214337114	-12933.083051065478	-13141.894762326261	-12402.096442999107	-14741.987200107229	-13270.646392213674	954.602704271905	5
9	38.5173300743103	0.20563401637943934	0.14141228199005126	0.022450633046531967	0.05	12	10	500	{'gbr__learning_rate': 0.05, 'gbr__max_depth': 12, 'gbr__min_samples_leaf': 10, 'gbr__n_estimators': 500}	-13384.273873052294	-11460.319506268257	-13175.63894161896	-13381.446639711128	-12518.430568897697	-14690.683747128494	-13039.627694206021	-13342.97912394625	-12935.550392401696	-14699.657964030492	-13262.700743768593	900.4372401591608	4
