,perc_imputed,feature,mae,imputer
0,10,GRElev,131.739782337,Mean
1,10,KBElev,133.791983614,Mean
2,10,TD,1232.81116066,Mean
3,10,bh_lat,0.343437854627,Mean
4,10,bh_lng,0.394107926845,Mean
5,10,legs,0.351857921585,Mean
6,10,max_tvd,612.034432806,Mean
7,10,mean_tvd,619.554369295,Mean
8,10,min_tvd,632.08911723,Mean
9,10,num_pools_produced,0.000366434591425,Mean
10,10,std_tvd,30.1088297986,Mean
11,10,surface_lat,0.344715247217,Mean
12,10,surface_lng,0.394366614567,Mean
13,10,total_lbs_proppant,978028.075325,Mean
14,10,total_volume_bbls,27376.4571106,Mean
15,10,tvd,621.561970405,Mean
16,20,GRElev,136.811169172,Mean
17,20,KBElev,138.087959555,Mean
18,20,TD,1209.1216732,Mean
19,20,bh_lat,0.351063834154,Mean
20,20,bh_lng,0.382927235816,Mean
21,20,legs,0.342130517412,Mean
22,20,max_tvd,604.725829778,Mean
23,20,mean_tvd,612.774187468,Mean
24,20,min_tvd,629.741408985,Mean
25,20,num_pools_produced,0.000412116216773,Mean
26,20,std_tvd,31.1138408674,Mean
27,20,surface_lat,0.351738655726,Mean
28,20,surface_lng,0.383122791544,Mean
29,20,total_lbs_proppant,1013203.65636,Mean
30,20,total_volume_bbls,25633.6076981,Mean
31,20,tvd,613.231832873,Mean
32,30,GRElev,148.817435171,Mean
33,30,KBElev,139.302367636,Mean
34,30,TD,1206.41938218,Mean
35,30,bh_lat,0.350061326963,Mean
36,30,bh_lng,0.380086957376,Mean
37,30,legs,0.344226739876,Mean
38,30,max_tvd,603.245950452,Mean
39,30,mean_tvd,611.701913852,Mean
40,30,min_tvd,629.7644027,Mean
41,30,num_pools_produced,0.000468384074942,Mean
42,30,std_tvd,30.3413912044,Mean
43,30,surface_lat,0.350747069228,Mean
44,30,surface_lng,0.380062682602,Mean
45,30,total_lbs_proppant,1010960.19749,Mean
46,30,total_volume_bbls,25673.1662279,Mean
47,30,tvd,611.798422946,Mean
48,40,GRElev,148.091277251,Mean
49,40,KBElev,139.639042975,Mean
50,40,TD,1207.51709074,Mean
51,40,bh_lat,0.351342626072,Mean
52,40,bh_lng,0.381309142997,Mean
53,40,legs,0.345229826297,Mean
54,40,max_tvd,598.462581264,Mean
55,40,mean_tvd,606.808200018,Mean
56,40,min_tvd,626.554580565,Mean
57,40,num_pools_produced,0.00054303556883,Mean
58,40,std_tvd,30.6494320526,Mean
59,40,surface_lat,0.352053757886,Mean
60,40,surface_lng,0.381490745739,Mean
61,40,total_lbs_proppant,1004983.80422,Mean
62,40,total_volume_bbls,26602.6976843,Mean
63,40,tvd,606.728218991,Mean
64,50,GRElev,164.504749821,Mean
65,50,KBElev,139.267365716,Mean
66,50,TD,1195.81829238,Mean
67,50,bh_lat,0.347344721394,Mean
68,50,bh_lng,0.382360988171,Mean
69,50,legs,0.34483200454,Mean
70,50,max_tvd,589.187902779,Mean
71,50,mean_tvd,597.47206646,Mean
72,50,min_tvd,619.829144253,Mean
73,50,num_pools_produced,0.00064829821718,Mean
74,50,std_tvd,31.6189197379,Mean
75,50,surface_lat,0.347730469898,Mean
76,50,surface_lng,0.382325972226,Mean
77,50,total_lbs_proppant,997539.207974,Mean
78,50,total_volume_bbls,26459.6008779,Mean
79,50,tvd,597.799417767,Mean
80,60,GRElev,160.805703291,Mean
81,60,KBElev,138.957556231,Mean
82,60,TD,1196.23892253,Mean
83,60,bh_lat,0.350402527691,Mean
84,60,bh_lng,0.385357083742,Mean
85,60,legs,0.345740759494,Mean
86,60,max_tvd,588.336334712,Mean
87,60,mean_tvd,596.939577012,Mean
88,60,min_tvd,618.884617158,Mean
89,60,num_pools_produced,0.0008,Mean
90,60,std_tvd,31.5073757032,Mean
91,60,surface_lat,0.350730234122,Mean
92,60,surface_lng,0.385272472891,Mean
93,60,total_lbs_proppant,1074971.43596,Mean
94,60,total_volume_bbls,26573.9077279,Mean
95,60,tvd,596.97903319,Mean
96,70,GRElev,163.254089738,Mean
97,70,KBElev,138.672615249,Mean
98,70,TD,1187.71953426,Mean
99,70,bh_lat,0.347807004374,Mean
100,70,bh_lng,0.387578836214,Mean
101,70,legs,0.345283555692,Mean
102,70,max_tvd,583.184901273,Mean
103,70,mean_tvd,591.93639519,Mean
104,70,min_tvd,614.593832662,Mean
105,70,num_pools_produced,0.0010752688172,Mean
106,70,std_tvd,31.6637368768,Mean
107,70,surface_lat,0.347856210722,Mean
108,70,surface_lng,0.387395658897,Mean
109,70,total_lbs_proppant,1067817.99244,Mean
110,70,total_volume_bbls,26567.6890574,Mean
111,70,tvd,591.981408059,Mean
112,10,GRElev,132.0,Median
113,10,KBElev,132.403685092,Median
114,10,TD,1125.91876047,Median
115,10,bh_lat,0.343321769682,Median
116,10,bh_lng,0.393341622278,Median
117,10,legs,0.219430485762,Median
118,10,max_tvd,574.316758794,Median
119,10,mean_tvd,581.414754301,Median
120,10,min_tvd,596.919480737,Median
121,10,num_pools_produced,0.0,Median
122,10,std_tvd,28.3285964787,Median
123,10,surface_lat,0.344595486812,Median
124,10,surface_lng,0.393438251854,Median
125,10,total_lbs_proppant,954991.417085,Median
126,10,total_volume_bbls,26117.5318258,Median
127,10,tvd,583.332470687,Median
128,20,GRElev,137.06655574,Median
129,20,KBElev,136.673044925,Median
130,20,TD,1104.42845258,Median
131,20,bh_lat,0.351014160566,Median
132,20,bh_lng,0.381522298669,Median
133,20,legs,0.202995008319,Median
134,20,max_tvd,569.065407654,Median
135,20,mean_tvd,578.330104585,Median
136,20,min_tvd,598.801896839,Median
137,20,num_pools_produced,0.0,Median
138,20,std_tvd,29.8435607786,Median
139,20,surface_lat,0.351703012153,Median
140,20,surface_lng,0.381608444595,Median
141,20,total_lbs_proppant,996855.542429,Median
142,20,total_volume_bbls,24218.9093178,Median
143,20,tvd,578.11563228,Median
144,30,GRElev,149.398879552,Median
145,30,KBElev,137.715966387,Median
146,30,TD,1108.30672269,Median
147,30,bh_lat,0.350008117647,Median
148,30,bh_lng,0.379196873669,Median
149,30,legs,0.204481792717,Median
150,30,max_tvd,567.167288515,Median
151,30,mean_tvd,577.214215539,Median
152,30,min_tvd,595.914532213,Median
153,30,num_pools_produced,0.0,Median
154,30,std_tvd,28.8912234229,Median
155,30,surface_lat,0.350755200588,Median
156,30,surface_lng,0.379103422908,Median
157,30,total_lbs_proppant,989498.37451,Median
158,30,total_volume_bbls,24244.7327731,Median
159,30,tvd,575.61907563,Median
160,40,GRElev,147.864671164,Median
161,40,KBElev,138.477234401,Median
162,40,TD,1122.12816189,Median
